Country,Capital,Abrv,Population,Facebook_users,Internet_users
Algeria,Algiers,DZ,42676018,19000000,21000000
Angola,Luanda,AO,31787566,27400000,7078067
Benin,Porto-Novo,BJ,11801595,920000,3801758
Botswana,Gaborone,BW,2374636,830000,923528
Burkina Faso,Ouagadougou,BF,20321560,840000,3704265
Burundi,Bujumbura,BI,11575964,450000,617116
Cabo Verde,Praia,CV,560349,240000,265972
Cameroon,Yaoundé,CM,25312993,2700000,6128422
Central African,Bangui,CF,4825711,96000,256432
Chad,N'Djaména,TD,15814345,260000,768274
Comoros,Moroni,KM,850910,120000,130578
Congo,Brazzaville,CG,5542197,600000,650000
Congo Democratic,Kinshasa,CD,86727573,2100000,5137271
IvoryCoast,Yamoussoukro,CI,25531083,3800000,6538355
Djibouti,Djibouti,DJ,985690,180000,180000
Egypt,Cairo,EG,101168745,35000000,49231493
Equatorial Guinea,Malabo,GQ,1360104,67000,312704
Eritrea,Asmara,ER,5309659,63000,71000
Eswatini,Mbabane*,SZ,1415414,170000,446051
Ethiopia,Addis,ET,110135635,4500000,16437811
Gabon,Libreville,GA,2109099,620000,985492
Gambia,Banjul,GM,2228075,310000,392277
Ghana,Accra,GH,30096970,4900000,10110000
Guinea,Conakry,GN,13398180,1500000,1602485
Guinea Bissau,Bissau,GW,1953723,110000,120000
Kenya,Nairobi,KE,52214791,7000000,43329434
Lesotho,Maseru,LS,2292682,310000,627860
Liberia,Monrovia,LR,4977720,4028418,4028418
Libya,Tripoli,LY,6569864,3500000,3800000
Madagascar,Antananarivo,MG,26969642,1700000,1900000
Malawi,Lilongwe,MW,19718743,720000,1828503
Mali,Bamako,ML,19689140,1500000,12480176
Mauritania,Nouakchott,MR,4661149,770000,810000
Mauritius,Port,MU,1271368,700000,803896
Mayotte,Mamoudzou,YT,266380,71000,107940
Morocco,Rabat,MA,36635156,15000000,22567154
Mozambique,Maputo,MZ,31408823,1800000,5279135
Namibia,Windhoek,NA,2641996,570000,797027
Niger,Niamey,NE,23176691,440000,951548
Nigeria,Abuja,NG,200962417,17000000,111632516
Reunion,Saint-Denis,RE,889918,420000,480000
Rwanda,Kigali,RW,12794412,490000,3724678
St.Helena,Jamestown,SH,4096,1700,2200
St. Tome &amp;,Sao,ST,213379,52000,57875
Senegal,Dakar,SN,16743859,2900000,9749527
Seychelles,Victoria,SC,95702,61000,67119
Sierra,Freetown,SL,7883123,450000,902462
Somalia,Mogadishu,SO,15636171,1100000,1200000
South Africa,Pretoria*,ZA,58065097,16000000,31185634
South Sudan,Juba,SS,13263184,180000,2229963
Sudan,Khartoum,SD,42514094,2600000,11816570
Tanzania,Dar,TZ,60913557,6100000,23000000
Togo,Lomé,TG,8186384,560000,3687036
Tunisia,Tunis,TN,11783168,6400000,7898534
Uganda,Kampala,UG,45711874,2600000,19000000
Western Sahara,Laayoune,EH,582478,24000,28000
Zambia,Lusaka,ZM,18137369,1600000,7248773
Zimbabwe,Harare,ZW,17297495,880000,6796314
