Country,Capital,Abrv,Population,Facebook_users,Internet_users
Austria,Vienna,AT,8766201,3700000,7695168
Belgium,Brussels,BE,11562784,6500000,10857126
Bulgaria,Sofia,BG,6988739,3300000,4663065
Croatia,Zagreb,HR,4140148,1800000,3787838
Cyprus,Nicosia,CY,1198427,870000,971369
Czech Republic,Prague,CZ,10630589,4600000,9323428
Denmark,Copenhagen,DK,5775224,3700000,5534770
Estonia,Tallinn,EE,1303798,620000,1276521
Finland,Helsinki,FI,5561389,2700000,5225678
France,Paris,FR,65480710,33000000,60421689
Germany,Berlin,DE,82438636,31000000,79127551
Greece,Athens,GR,11124603,5000000,7815926
Hungary,Budapest,HU,9655361,5300000,8588776
Ireland,Dublin,IE,4847139,2700000,4453436
Italy,Rome,IT,59216525,30000000,54798299
Latvia,Riga,LV,1911108,740000,1663739
Lithuania,Vilnius,LT,2864459,1400000,2599678
Luxemburg,Luxembourg,LU,596992,320000,572242
Malta,Valletta,MT,433245,320000,360056
Netherlands,Amsterdam,NL,17132908,9800000,16383879
Poland,Warsaw,PL,38028278,14000000,29757099
Portugal,Lisbon,PT,10254666,5800000,8015519
Romania,Bucharest,RO,19483360,8900000,14387477
Slovakia,Bratislava,SK,5450987,3200000,4629641
Slovenia,Ljubljana,SI,2081900,910000,1663795
Spain,Madrid,ES,46441049,23000000,42961230
Sweden,Stockholm,SE,10053135,6300000,9653776
United Kingdom,London,UK,66959016,44000000,63061419
