Country,Capital,Abrv,Population,Facebook_users,Internet_users
Bahrain,Manama,BH,1637896,1100000,1535653
Iran,Tehran,IR,82011735,40000000,62702731
IraqIsrael,Bagdad,IQ,40412299,17000000,19000000
Jordan,Jerusalem,IL,8583916,5800000,6740287
Kuwait,Amman,JO,10069794,5300000,8700000
Lebanon,Kuwait,KW,4248974,3100000,4104347
Oman,Beirut,LB,6065922,3600000,5546494
Palestine,Muscat,OM,5001875,2630000,3310260
Qatar,no,PS,5186790,1700000,3055088
Saudi Arabia,Doha,QA,2743901,2300000,2644580
Syria,Riyadh,SA,34140662,18000000,30257715
Turkey,Damascus,SY,18499181,4900000,6025631
United Arab,Abu,AE,9682088,8700000,9385420
Yemen,Sanaá,YE,29579986,2352942,7031784
