Country,Capital,Abrv,Population,Facebook_users,Internet_users
American Samoa,Pago,AS,55727,22000,22000
Antarctica,none,AQ,2700,1800,4400
Australia,Canberra,AU,25088636,15000000,21711706
Christmas Island,Flying,CX,2205,400,1000
Cocos (Keeling),West,CC,596,70,70
Cook Islands,Avarua,CK,17462,8600,11377
Fiji,Suva,FJ,918757,470000,500958
French Polynesia,Papeete,PF,288506,150000,209744
Guam,Hagatna,GU,167245,110000,134649
Kiribati,Tarawa,KI,120428,30000,32947
Marshall Islands,Majuro,MH,53211,20000,20593
Micronesia,Palikir,FM,106983,21000,56193
Nauru,Yaren,NR,11260,3400,6418
New Caledonia,Noumea,NC,283376,150000,232368
New Zealand,Wellington,NZ,4792409,3100000,4351987
Niue,Alofi,NU,1628,820,1485
Norfolk Island,Kingston,NF,1748,80,796
Northern Mariana,Saipan,MP,55246,36000,40000
Palau,Ngerulmud,PW,22206,5800,7860
Papau,Port Moserby,PG,8586525,670000,962550
Pitcairn Islands,Adamstown,PN,50,150,170
Samoa,Apia,WS,198909,94000,100000
Solomon Islands,Honiara,SB,635254,68000,75722
Tokelau,none,TK,1340,410,800
Tonga,Nuku'alofa,TO,110041,54000,57822
Tuvalu,Funafuti,TV,11393,1700,5619
Vanuatu,Port-Vila,VU,288017,63000,82764
Wallis And Futuna,Mata-Utu,WF,11617,3400,3900
